condition,row_index,predicted_class,rank,feature,feature_group,transformed_value,model_weight,contribution,contribution_type
C_RIDGE,2,4,1,number,textual,0.7757955936599895,0.5965139327019848,0.46277288054699134,input_times_coefficient
C_RIDGE,2,4,2,likes_within_platform_percentile,engagement_or_format,0.9587628841400146,-0.33844242111548756,-0.32448603178401425,input_times_coefficient
C_RIDGE,2,4,3,duration_sec_within_platform_percentile,engagement_or_format,0.8247422575950623,-0.3779996770206757,-0.31175230699623646,input_times_coefficient
C_RIDGE,2,4,4,views_within_platform_percentile,engagement_or_format,0.969072163105011,0.3100278812723227,0.3004393895274333,input_times_coefficient
C_RIDGE,2,4,5,comments_within_platform_percentile,engagement_or_format,0.969072163105011,-0.15382200201988883,-0.14906462023055703,input_times_coefficient
C_RIDGE,2,4,6,10,textual,0.21923153091291728,0.3820055875982848,0.0837476697864605,input_times_coefficient
C_RIDGE,2,4,7,life,textual,0.0861372203620998,0.7846008011603463,0.06758333210582879,input_times_coefficient
C_RIDGE,2,4,8,new,textual,0.11882680775847242,0.5483530452748173,0.06515904189464364,input_times_coefficient
C_RIDGE,2,4,9,later,textual,0.12857128440114068,0.35225336010980884,0.04528966694393566,input_times_coefficient
C_RIDGE,2,4,10,seven,textual,0.3992829316524525,-0.11204819391532608,-0.044738931352873886,input_times_coefficient
C_RIDGE,9,2,1,likes_within_platform_percentile,engagement_or_format,0.9896907210350037,0.3014557501513147,0.29834795872740255,input_times_coefficient
C_RIDGE,9,2,2,fast,textual,0.30535551050412,0.9674222495318626,0.2954077148788461,input_times_coefficient
C_RIDGE,9,2,3,hyper,textual,0.3302710271118304,0.5802267449804348,0.19163208302244228,input_times_coefficient
C_RIDGE,9,2,4,views_within_platform_percentile,engagement_or_format,0.9742268323898315,-0.17975802167695326,-0.17512508805500085,input_times_coefficient
C_RIDGE,9,2,5,calm,textual,0.31513418518897607,-0.44419851781281505,-0.13998213797309234,input_times_coefficient
C_RIDGE,9,2,6,stimulants,textual,0.15756709259448803,0.7200459513293059,0.11345554708539098,input_times_coefficient
C_RIDGE,9,2,7,duration_sec_within_platform_percentile,engagement_or_format,0.35824742913246155,0.2967238173539666,0.10630054472942861,input_times_coefficient
C_RIDGE,9,2,8,kind,textual,0.12390425340755418,0.7787320467335743,0.09648821285506011,input_times_coefficient
C_RIDGE,9,2,9,thinking,textual,0.3117450298477509,0.2538464504180032,0.07913536926230602,input_times_coefficient
C_RIDGE,9,2,10,emotional,textual,0.12547090682155126,-0.5928021422087955,-0.07437942234869575,input_times_coefficient
C_RIDGE,16,3,1,taking,textual,0.17687881772895697,1.0938717627800154,0.1934827441476192,input_times_coefficient
C_RIDGE,16,3,2,just,textual,0.12409792997728193,-0.8904219173695681,-0.11049951675196579,input_times_coefficient
C_RIDGE,16,3,3,want,textual,0.24835963748005827,0.3734008242919551,0.0927376933559049,input_times_coefficient
C_RIDGE,16,3,4,did,textual,0.17375478336955452,0.5291093398833878,0.09193527873024604,input_times_coefficient
C_RIDGE,16,3,5,actually,textual,0.15962034439262757,-0.5291156305656322,-0.0844576191744085,input_times_coefficient
C_RIDGE,16,3,6,don,textual,0.2800018439171092,-0.27762661530838656,-0.07773596420681417,input_times_coefficient
C_RIDGE,16,3,7,medication,textual,0.38000672622670206,0.1719153132077059,0.06532897536029843,input_times_coefficient
C_RIDGE,16,3,8,likes_within_platform_percentile,engagement_or_format,0.4020618498325348,0.15462844685398372,0.062170199378844486,input_times_coefficient
C_RIDGE,16,3,9,don know,textual,0.18378195176426015,-0.3304510386970877,-0.060730936854277835,input_times_coefficient
C_RIDGE,16,3,10,thing,textual,0.06072431608933591,0.924868509377654,0.05616200770452159,input_times_coefficient
C_RIDGE,27,4,1,um,textual,0.7601351463982129,0.32028554143252547,0.24346029692604362,input_times_coefficient
C_RIDGE,27,4,2,duration_sec_within_platform_percentile,engagement_or_format,0.26030927896499634,-0.3779996770206757,-0.0983968233742536,input_times_coefficient
C_RIDGE,27,4,3,views_within_platform_percentile,engagement_or_format,0.2835051417350769,0.3100278812723227,0.08789449842193545,input_times_coefficient
C_RIDGE,27,4,4,likes_within_platform_percentile,engagement_or_format,0.23969072103500366,-0.33844242111548756,-0.08112150794600356,input_times_coefficient
C_RIDGE,27,4,5,say,textual,0.09653013200493973,0.8025890919442854,0.07747403099110658,input_times_coefficient
C_RIDGE,27,4,6,sure,textual,0.12682444851054833,-0.5562863857999684,-0.07055071409300712,input_times_coefficient
C_RIDGE,27,4,7,doctor,textual,0.13088586211341238,-0.5159696478527825,-0.06753313218356524,input_times_coefficient
C_RIDGE,27,4,8,know,textual,0.2653683120845385,0.21370430728190418,0.056710351308594455,input_times_coefficient
C_RIDGE,27,4,9,hedge_score,handcrafted_linguistic,-1.4262844324111938,-0.03780217747134344,0.0539166572386223,input_times_coefficient
C_RIDGE,27,4,10,right,textual,0.18227796325662676,0.2878414700643972,0.052467156904131625,input_times_coefficient
C_RIDGE,34,4,1,likes_within_platform_percentile,engagement_or_format,0.6494845151901245,-0.33844242111548756,-0.2198131117979644,input_times_coefficient
C_RIDGE,34,4,2,duration_sec_within_platform_percentile,engagement_or_format,0.49484536051750183,-0.3779996770206757,-0.18705138645079553,input_times_coefficient
C_RIDGE,34,4,3,views_within_platform_percentile,engagement_or_format,0.5412371158599854,0.3100278812723227,0.16779859629601393,input_times_coefficient
C_RIDGE,34,4,4,symptoms,textual,0.2191657528925952,-0.690847262049508,-0.15141006032086843,input_times_coefficient
C_RIDGE,34,4,5,away,textual,0.1788265461776692,0.8115796599448912,0.14513198753599216,input_times_coefficient
C_RIDGE,34,4,6,diagnosed,textual,0.3038076070746488,-0.3824708500955715,-0.1161975537433423,input_times_coefficient
C_RIDGE,34,4,7,diagnosis,textual,0.1656044955686674,-0.6893710242085705,-0.11416294072371594,input_times_coefficient
C_RIDGE,34,4,8,say,textual,0.13332086718566782,0.8025890919442854,0.10700187373176982,input_times_coefficient
C_RIDGE,34,4,9,adhders,textual,0.2064400660951078,0.49186278929066607,0.10154018673088917,input_times_coefficient
C_RIDGE,34,4,10,consequences,textual,0.19719349839202505,0.5068912318160816,0.09995565530605609,input_times_coefficient
C_RIDGE,39,4,1,duration_sec_within_platform_percentile,engagement_or_format,0.49484536051750183,-0.3779996770206757,-0.18705138645079553,input_times_coefficient
C_RIDGE,39,4,2,views_within_platform_percentile,engagement_or_format,0.5051546096801758,0.3100278812723227,0.15661201335409206,input_times_coefficient
C_RIDGE,39,4,3,information,textual,0.42523109571958834,0.2632526776946145,0.11194322458719656,input_times_coefficient
C_RIDGE,39,4,4,need,textual,0.25097897216060505,0.44594737562860387,0.11192341397298626,input_times_coefficient
C_RIDGE,39,4,5,likes_within_platform_percentile,engagement_or_format,0.32474225759506226,-0.33844242111548756,-0.1099065558989822,input_times_coefficient
C_RIDGE,39,4,6,comments_within_platform_percentile,engagement_or_format,0.5979381203651428,-0.15382200201988883,-0.09197603875857553,input_times_coefficient
C_RIDGE,39,4,7,ve,textual,0.17823687957318562,0.48545347525152793,0.08652571260679104,input_times_coefficient
C_RIDGE,39,4,8,say,textual,0.10219527991782915,0.8025890919442854,0.08202081691024256,input_times_coefficient
C_RIDGE,39,4,9,single,textual,0.14174369857319613,0.524027563295217,0.0742776049757637,input_times_coefficient
C_RIDGE,39,4,10,doctor,textual,0.1385672746752494,-0.5159696478527825,-0.07149650791810823,input_times_coefficient
C_RIDGE,42,3,1,ll,textual,0.3674128188622889,0.4368572192017979,0.1605069423472734,input_times_coefficient
C_RIDGE,42,3,2,start,textual,0.6397396772224702,-0.2403474064050723,-0.1537597721948388,input_times_coefficient
C_RIDGE,42,3,3,just,textual,0.17089320311361958,-0.8904219173695681,-0.1521670535818562,input_times_coefficient
C_RIDGE,42,3,4,taking,textual,0.12178844453805611,1.0938717627800154,0.1332209405130796,input_times_coefficient
C_RIDGE,42,3,5,hedge_score,handcrafted_linguistic,-1.082777738571167,-0.0960603786647221,0.10401203957687777,input_times_coefficient
C_RIDGE,42,3,6,time,textual,0.14082450150858933,0.7031859758473056,0.09902581451652774,input_times_coefficient
C_RIDGE,42,3,7,example,textual,0.13205816787387029,0.7497880113369809,0.09901563107095439,input_times_coefficient
C_RIDGE,42,3,8,thing,textual,0.08362244950653294,0.924868509377654,0.07733977022561526,input_times_coefficient
C_RIDGE,42,3,9,best,textual,0.12178844453805611,-0.37244317154990647,-0.0453592745418835,input_times_coefficient
C_RIDGE,42,3,10,say,textual,0.09631480153435108,-0.42974329456577565,-0.04139064012682086,input_times_coefficient
C_RIDGE,45,3,1,trying,textual,0.4655587111464363,0.6206078847718901,0.2889294069617172,input_times_coefficient
C_RIDGE,45,3,2,time,textual,0.30293830863160964,0.7031859758473056,0.21302197017665067,input_times_coefficient
C_RIDGE,45,3,3,just,textual,0.12254046077041128,-0.8904219173695681,-0.10911271203453995,input_times_coefficient
C_RIDGE,45,3,4,really,textual,0.15879187148860582,0.6733845178867277,0.10692798782668606,input_times_coefficient
C_RIDGE,45,3,5,likes_within_platform_percentile,engagement_or_format,0.6391752362251282,0.15462844685398372,0.09883467404501972,input_times_coefficient
C_RIDGE,45,3,6,bit,textual,0.1298193103483735,0.5932822716820667,0.07701949535168226,input_times_coefficient
C_RIDGE,45,3,7,easily,textual,0.13099419846688756,-0.5849659387264478,-0.07662714427390149,input_times_coefficient
C_RIDGE,45,3,8,make,textual,0.26982992816341866,0.24114645427120365,0.06506853043286201,input_times_coefficient
C_RIDGE,45,3,9,real,textual,0.12156168968738086,-0.5021128207684514,-0.061037682906309974,input_times_coefficient
C_RIDGE,45,3,10,things,textual,0.19894643619272623,0.29767606180688694,0.05922159163636586,input_times_coefficient
C_RIDGE,49,4,1,phone,textual,0.3848689799130956,0.46512283127258913,0.17901134960617227,input_times_coefficient
C_RIDGE,49,4,2,needs,textual,0.37219783655493216,0.4302935851623196,0.1601543414808808,input_times_coefficient
C_RIDGE,49,4,3,did,textual,0.3446783282007255,0.4343428596011116,0.1497085707132336,input_times_coefficient
C_RIDGE,49,4,4,relationships,textual,0.4104256054427749,-0.34759512993613323,-0.1426619416529975,input_times_coefficient
C_RIDGE,49,4,5,type,textual,0.3609644316845444,0.29909805334893597,0.10796375884505222,input_times_coefficient
